16.12878,0
19.45375,0
23.21192,0
26.97747,0
30.75974,3
34.52174,3
38.30942,3
42.07436,3
45.42118,3
49.61042,0
50.07008,3
53.46347,0
53.95319,3
57.16404,0
57.63506,3
60.99516,0
61.46894,3
64.79057,1
68.57356,1
72.34746,1
76.11597,5
83.7197,5
87.48631,5
91.25028,1
91.69173,5
95.07213,1
95.52704,5
98.80586,1
99.27063,5
102.5721,1
103.0331,5
106.3893,0
106.8742,3
107.3538,1
107.8468,5
110.1607,0
110.6382,3
111.0773,1
111.5342,5
113.9332,0
114.409,3
114.9212,1
115.3579,5
117.7504,0
118.2213,3
118.7013,1
119.141,5
121.4929,0
121.9745,3
122.4178,1
122.8643,5
125.2889,0
125.7283,3
126.1896,1
126.6821,5
129.0618,0
129.5172,3
129.9932,1
130.5043,5
132.8296,0
133.3333,3
133.7681,1
134.2398,5
136.6386,0
137.1001,3
137.5462,1
138.016,5
140.4025,0
140.875,3
141.3336,1
141.8018,5
144.2235,0
144.6801,3
145.1117,1
145.5912,5
147.9841,0
148.4505,3
148.8823,1
149.3305,5
151.7581,0
152.2142,3
152.6811,1
153.1696,5
